model,seed,level,epoch,train_total,train_effect,train_vq,eval_total,eval_effect,eval_vq,active_codes,ema_used_codes,occupancy_min,occupancy_max,occupancy_perplexity,step_counter,last_check_step,last_maintenance_step,last_structure_step,surprise_streak,growth_count,prune_count,merge_count,distance_mean,distance_p90,distance_p95,distance_max,surprise_support
dynamic_prune,2,1,15,5.086571311950683,4.65224168141683,0.43432963371276856,4.573611243565877,4.573611243565877,0.0,1.0,1.0,1.0,1.0,1.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,2,1,16,4.826677417755127,4.519315115610758,0.3073622665802638,4.443637520472208,4.443637520472208,0.0,1.0,1.0,1.0,1.0,1.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,2,1,17,4.634648265838623,4.390823351542155,0.2438248892625173,4.320270417531331,4.320270417531331,0.0,1.0,1.0,1.0,1.0,1.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,2,1,18,4.500665219624837,4.26993636449178,0.230728856921196,4.20148917833964,4.20148917833964,0.0,1.0,1.0,1.0,1.0,1.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,2,1,19,4.391411908467611,4.152057145436605,0.2393548027674357,4.085220645268758,4.085220645268758,0.0,1.0,1.0,1.0,1.0,1.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,2,1,20,4.284039936065674,4.038568407694498,0.24547151585419974,3.972710590362549,3.972710590362549,0.0,1.0,1.0,1.0,1.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,2,1,21,4.172478720347087,3.927064348856608,0.2454144283135732,3.8656027126312256,3.8656027126312256,0.0,1.0,1.0,1.0,1.0,1.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,2,1,22,4.076663506825765,3.8222822443644207,0.254381289879481,3.7628966840108236,3.7628966840108236,0.0,1.0,1.0,1.0,1.0,1.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,2,1,23,3.9667430782318114,3.7222582626342775,0.2444848636786143,3.6648132896423338,3.6648132896423338,0.0,1.0,1.0,1.0,1.0,1.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,2,1,24,3.86006290435791,3.624833097457886,0.23522985299428303,3.5708273951212566,3.5708273951212566,0.0,1.0,1.0,1.0,1.0,1.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,2,1,25,3.7503554407755533,3.532971471150716,0.21738396565119425,3.4813973712921142,3.4813973712921142,0.0,1.0,1.0,1.0,1.0,1.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
dynamic_prune,2,1,26,3.650118516286214,3.445227200190226,0.20489128947257995,3.395407870610555,3.395407870610555,0.0,1.0,1.0,1.0,1.0,1.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
