model,seed,level,epoch,train_total,train_effect,train_vq,eval_total,eval_effect,eval_vq,active_codes,ema_used_codes,step_counter,last_check_step,surprise_streak,distance_mean,distance_p90,distance_p95,distance_max,surprise_support
dynamic,1,1,16,4.636415576934814,3.0832465076446534,1.5531691201527913,3.043148005803426,3.043148005803426,0.0,1.0,1.0,160.0,0.0,0.0,,,,,
dynamic,1,1,17,4.64879446665446,3.0142698097229004,1.6345246521631878,2.975933205286662,2.975933205286662,0.0,1.0,1.0,170.0,0.0,0.0,,,,,
dynamic,1,1,18,4.649646263122559,2.9486099910736083,1.7010362688700358,2.912374776204427,2.912374776204427,0.0,1.0,1.0,180.0,0.0,0.0,,,,,
dynamic,1,1,19,4.632195466359456,2.886790606180827,1.745404872894287,2.8531027444203696,2.8531027444203696,0.0,1.0,1.0,190.0,0.0,0.0,,,,,
dynamic,1,1,20,4.596967455546062,2.829718271891276,1.7672492122650147,2.7981934706370035,2.7981934706370035,0.0,1.0,1.0,200.0,0.0,0.0,,,,,
dynamic,1,1,21,4.54883041381836,2.7771689319610595,1.7716614611943562,2.7459229755401613,2.7459229755401613,0.0,1.0,1.0,210.0,201.0,1.0,13.690600395202637,36.8466911315918,67.23511505126953,176.25814819335938,184.0
dynamic,1,1,22,4.510711660385132,2.7251230748494466,1.7855885219573975,2.6958452161153157,2.6958452161153157,0.0,1.0,1.0,220.0,201.0,1.0,13.690600395202637,36.8466911315918,67.23511505126953,176.25814819335938,184.0
dynamic,1,1,23,4.483646074930827,2.675117235183716,1.8085288429260253,2.6465783723195395,2.6465783723195395,0.0,1.0,1.0,230.0,201.0,1.0,13.690600395202637,36.8466911315918,67.23511505126953,176.25814819335938,184.0
dynamic,1,1,24,4.474627787272135,2.6266726652781167,1.847955233256022,2.599113817214966,2.599113817214966,0.0,1.0,1.0,240.0,201.0,1.0,13.690600395202637,36.8466911315918,67.23511505126953,176.25814819335938,184.0
dynamic,1,1,25,4.4164788500467935,2.5794371000925698,1.8370416784286498,2.5528846549987794,2.5528846549987794,0.0,1.0,1.0,250.0,201.0,1.0,13.690600395202637,36.8466911315918,67.23511505126953,176.25814819335938,184.0
dynamic,1,1,26,4.409041620890299,2.534338566462199,1.8747030703226726,2.509878085454305,2.509878085454305,0.0,1.0,1.0,260.0,201.0,1.0,13.690600395202637,36.8466911315918,67.23511505126953,176.25814819335938,184.0
dynamic,1,1,27,4.408147741953532,2.4924606196085612,1.9156870969136557,2.469201313654582,2.469201313654582,0.0,1.0,1.0,270.0,201.0,1.0,13.690600395202637,36.8466911315918,67.23511505126953,176.25814819335938,184.0
dynamic,1,1,28,4.397842260996501,2.4532803821563722,1.9445618279774983,2.4337108580271405,2.4337108580271405,0.0,1.0,1.0,280.0,201.0,1.0,13.690600395202637,36.8466911315918,67.23511505126953,176.25814819335938,184.0
dynamic,1,1,29,4.397735392252605,2.420636984507243,1.9770984172821044,2.4016157563527427,2.4016157563527427,0.0,1.0,1.0,290.0,201.0,1.0,13.690600395202637,36.8466911315918,67.23511505126953,176.25814819335938,184.0
dynamic,1,1,30,4.432928276062012,2.388406089146932,2.044522212346395,2.3711881542205813,2.3711881542205813,0.0,1.0,1.0,300.0,201.0,1.0,13.690600395202637,36.8466911315918,67.23511505126953,176.25814819335938,184.0
dynamic,1,1,31,4.628137308756511,2.835177392959595,1.7929598649342855,2.7715473492940266,2.7715473492940266,0.0,2.0,2.0,310.0,301.0,0.0,17.1677303314209,52.648826599121094,76.55886840820312,204.86109924316406,232.0
dynamic,1,1,32,4.252138779958089,2.6944669469197593,1.5576717821756998,2.606950298945109,2.606950298945109,0.0,2.0,2.0,320.0,301.0,0.0,17.1677303314209,52.648826599121094,76.55886840820312,204.86109924316406,232.0
